chapter,content
第一章 数据库系统概论,"数据库技术是信息系统的核心技术和重要基础设施,广泛应用于OLTP、OLAP、CAD/CAM、CIMS、电子商务、电子政务和GIS等领域。"
第一章 数据库系统概论,"数据库技术作为信息系统的基础，支撑着各种应用系统的数据管理需求，包括交易处理、分析处理、设计制造、电子商务等场景。"
第一章 数据库系统概论,"数据库发展经历了三代演变:层次/网状数据库、关系数据库和新一代数据库系统,并造就了多位图灵奖得主。"
第一章 数据库系统概论,"数据是描述事物的符号记录,是数据库中存储的基本对象。"
第一章 数据库系统概论,"数据的种类包括:数值、文字、图形、图像、声音、视频等"
第一章 数据库系统概论,"数据的特点是:数据与其语义不可分"
第一章 数据库系统概论,"数据库DB是长期存储在计算机内、有组织、可共享的大量数据的集合。"
第一章 数据库系统概论,"数据库的基本特征是：数据按一定的数据模型组织、描述和储存;可为各种用户共享;冗余度较小;数据独立性较高;易扩展。"
第一章 数据库系统概论,"数据库管理系统DBMS是位于用户与操作系统之间的一层数据管理软件。"
第一章 数据库系统概论,"数据库管理系统DBMS的用途是:科学地组织和存储数据、高效地获取和维护数据。"
第一章 数据库系统概论,数据库管理系统DBMS主要功能包括数据定义;数据组织存储管理;数据操纵功能;数据库的事务管理与运行管理;数据库建立与维护等。
第一章 数据库系统概论,数据库系统DBS是指在计算机系统中引入数据库和DBMS后的系统构成。
第一章 数据库系统概论,数据库系统DBS的构成是:数据库、数据库管理系统DBMS(及其应用开发工具)、应用系统、数据库管理员DBA组成的存储、管理、处理和维护数据的系统。
第一章 数据库系统概论,数据管理技术是对数据进行分类、组织、编码、存储、检索和维护，是数据处理和数据分析的中心问题。
第一章 数据库系统概论,数据管理技术经历了人工管理阶段、文件系统阶段和数据库系统阶段三个阶段。
第一章 数据库系统概论,"人工管理阶段数据不保存,由应用程序管理,数据面向，无共享,冗余大,数据不具有独立性。"
第一章 数据库系统概论,"文件系统阶段数据由应用程序自己控制,可长期保存,但共享性差、冗余大、独立性差,记录内有结构但整体无结构数据。"
第一章 数据库系统概论,"数据库系统阶段由DBMS统一管理数据,共享性高、冗余小,具有高度的物理独立性和一定的逻辑独立性,数据整体结构化,用数据模型来表示。"
第一章 数据库系统概论,"数据库系统的主要特点包括:整体数据的结构化、数据独立性高(包括物理独立性和逻辑独立性)、数据共享性高、数据由DBMS统一管理和控制。"
第一章 数据库系统概论,"数据的物理独立性指用户的应用程序与存储在物理磁盘上的数据库中数据是相互独立的。当数据的物理存储改变了,应用程序不用改变。"
第一章 数据库系统概论,"数据的逻辑独立性指用户的应用程序与数据库的逻辑结构是相互独立的。数据的逻辑结构改变了，用户程序也可以不变。"
第一章 数据库系统概论,"数据模型是现实世界数据特征的抽象,在数据库中用数据模型(data model)这个工具来抽象描述、组织和处理现实世界中的数据和信息。"
第一章 数据库系统概论,"数据模型应满足三方面要求:能比较真实地模拟现实世界、容易为人所理解、便于在计算机上实现。"
第一章 数据库系统概论,"数据建模是把现实世界的具体事务抽象、组织为某一数据库管理系统支持的数据模型的过程。"
第一章 数据库系统概论,数据建模分为两步:建立概念模型(将现实世界抽象为信息世界)和转将概念模型换为数据模型(将信息世界转换为机器世界)。
第一章 数据库系统概论,"概念模型的用途是:用于信息世界的建模;是现实世界到机器世界的一个中间层次;是数据库设计的有力工具;数据库设计人员和用户之间进行交流的语言。"
第一章 数据库系统概论,"对概念模型的基本要求是:较强的语义表达能力;简单、清晰、易于用户理解;易于更改和扩充易于向各种数据模型进行转换。"
第一章 数据库系统概论,信息世界基本概念包括:实体、属性、码、域、实体型、实体集、联系等。
第一章 数据库系统概论,域的定义是:属性的取值范围称为该属性的域。
第一章 数据库系统概论,属性的定义是:实体所具有的某一特性称为属性;一个实体可以由若干个属性来刻画。
第一章 数据库系统概论,码的定义是:唯一标识实体的属性集称为码。
第一章 数据库系统概论,"联系的定义是:现实世界中,事物内部以及事物之间的联系,在信息世界中反映为实体内部的联系(组成实体的各属性之间的联系)和实体之间的联系(不同实体集之间的联系)。"
第一章 数据库系统概论,"实体联系有一对一、一对多、多对多三种基本类型,可用E-R图表示。"
第一章 数据库系统概论,"实体－联系模型,简称E-R模型,是用E-R图来描述现实世界的概念模型。"
第一章 数据库系统概论,"E-R模型提供了表示实体型、属性和联系的方法。"
第一章 数据库系统概论,"E-R图中实体型用矩形表示,矩形框内写明实体名。"
第一章 数据库系统概论,"E-R图中实体型用椭圆形表示,并用无向边将其与相应的实体连接起来。"
第一章 数据库系统概论,"E-R图中联系本身用菱形表示,菱形框内写明联系名,并用无向边分别与有关实体连接起来,同时在无向边旁标上联系的类型(1:1、1:n或m:n)。"
第一章 数据库系统概论,"E-R图中联系的属性:联系本身也是一种实体型,也可以有属性。如果一个联系具有属性,则这些属性也要用无向边与该联系连起来。"
第一章 数据库系统概论,数据模型三要素是数据结构、数据操作和完整性约束。
第一章 数据库系统概论,"数据结构描述数据库的组成对象及对象之间的联系,是对系统静态特性的描述。"
第一章 数据库系统概论,"数据操作是对数据库中各种对象(型)的实例(值)允许执行的操作的集合,包括操作及有关的操作规则,是对系统动态特性的描述。"
第一章 数据库系统概论,"数据的完整性约束条件是一组完整性规则的集合。"
第一章 数据库系统概论,"完整性规则是给定的数据模型中数据及其联系所具有的制约和储存规则。"
第一章 数据库系统概论,"完整性规则的作用是可以限定符合数据模型的数据库状态以及状态的变化,以保证数据的正确、有效、相容。"
第一章 数据库系统概论,常用逻辑数据模型包括层次模型、网状模型、关系模型以及新一代数据库模型。
第一章 数据库系统概论,"层次模型满足有且只有一个结点没有双亲结点，这个结点称为根结点、其他结点有且只有一个双亲的条件。"
第一章 数据库系统概论,"层次模型优点是结构简单、查询效率高、提供了良好的完整性支持。"
第一章 数据库系统概论,"层次模型缺点是多对多联系表示不自然、对插入和删除操作的限制多、查询子女结点必须通过双亲结点、查询及更新操作必须给出完整路径。"
第一章 数据库系统概论,"网状模型满足允许一个以上结点无双亲,一个结点可有多个双亲。"
第一章 数据库系统概论,"网状模型优点是能更直接描述现实世界,具有良好的性能,存取效率较高。"
第一章 数据库系统概论,"网状模型缺点是结构比较复杂,而且随着应用环境的扩大,数据库的结构就变得越来越复杂,不利于最终用户掌握;DDL、DML语言复杂,用户不容易使用;用户必须了解系统结构细节,加重编写应用程序的负担。"
第一章 数据库系统概论,关系模型中关系是一个关系对应通常说的一张二维表。
第一章 数据库系统概论,"关系模型的优点是数据结构简单清晰,建立在严格数学基础上,存取路径对用户透明。"
第一章 数据库系统概论,"关系模型的缺点是存取路径对用户隐蔽，导致查询效率往往不如格式化数据模型;为提高性能,必须对用户的查询请求进行优化,增加了开发数据库管理系统的难度。"
第一章 数据库系统概论,关系模型的基本概念包括:关系、元组、属性、主码、域、分量、关系模式等。
第一章 数据库系统概论,"关系模型用关系表示实体和联系,关系必须规范化,分量是不可分的数据项。"
第一章 数据库系统概论,"数据库系统采用三级模式结构:外模式、模式和内模式,提供二级映像保证数据独立性。"
第一章 数据库系统概论,"模式是数据库中全体数据的逻辑结构和特征描述,是所有用户的公共数据视图,是三级模式的中心。"
第一章 数据库系统概论,"外模式是数据库用户使用的局部数据的逻辑结构和特征的描述,通常是模式子集,保证数据安全性,简化用户视图。"
第一章 数据库系统概论,"内模式是数据物理结构和存储方式的描述,一个数据库只有一个内模式。"
第一章 数据库系统概论,外模式/模式映像保证数据的逻辑独立性:模式改变时外模式可保持不变。
第一章 数据库系统概论,模式/内模式映像保证数据的物理独立性:存储结构改变时模式可保持不变。
第一章 数据库系统概论,"数据库系统组成包括:数据库、数据库管理系统DBMS、应用系统、数据库管理员和用户。"
第一章 数据库系统概论,数据库系统对硬件要求包括足够大内存和外存、较高的通道能力。
第一章 数据库系统概论,数据库系统涉及人员包括:数据库管理员DBA、系统分析员、数据库设计人员、应用程序员和最终用户。
第一章 数据库系统概论,数据库管理员DBA负责确定数据库中的信息内容与结构、决定数据库的存储结构和存取策略、定义数据的安全性要求和完整性约束条件、监控与维护数据库运行与性能、数据库的改进和重组、数据库重构。
第二章 关系模型和关系运算理论,关系模型由关系数据结构、关系操作集合和关系完整性约束三部分组成。
第二章 关系模型和关系运算理论,"关系模型由E.F.Codd于1970年提出,并逐步发展出关系代数、关系演算和规范化理论。"
第二章 关系模型和关系运算理论,"关系数据结构单一,现实世界实体及联系均用关系表示,用户视图为二维表。"
第二章 关系模型和关系运算理论,"关系操作包括查询(选择、投影、连接、除、并、交、差)和数据更新(插入、删除、修改)。"
第二章 关系模型和关系运算理论,关系完整性约束包括实体完整性、参照完整性和用户定义的完整性三类。
第二章 关系模型和关系运算理论,关系模型建立在集合代数的基础上。
第二章 关系模型和关系运算理论,"域是一组具有相同数据类型值的集合,是关系的构成基础。"
第二章 关系模型和关系运算理论,"笛卡儿积是域上的一种集合运算,是所有域的所有取值的一个组合,不能重复。"
第二章 关系模型和关系运算理论,"笛卡儿积可表示为一个二维表。表中的每行对应一个元组,表中的每列对应一个域。"
第二章 关系模型和关系运算理论,"关系是笛卡儿积的有意义子集,表示为R(D1, D2, …, Dn),n为关系的目或度。"
第二章 关系模型和关系运算理论,"关系用二维表表示,每行对应一个元组,每列对应一个域。"
第二章 关系模型和关系运算理论,"属性的定义是:关系中不同列可以对应相同的域为了加以区分,必须对每列起一个名字,称为属性。"
第二章 关系模型和关系运算理论,候选码是能唯一标识元组的最小属性组。
第二章 关系模型和关系运算理论,"全码的定义是:在最极端的情况下,关系模式的所有属性组是这个关系模式的候选码,称为全码。"
第二章 关系模型和关系运算理论,主属性是候选码中的诸属性。
第二章 关系模型和关系运算理论,"主码的定义是:若一个关系有多个候选码，则选定其中一个为主码。"
第二章 关系模型和关系运算理论,"非主属性是不包含在任何侯选码中的属性。"
第二章 关系模型和关系运算理论,"关系分为基本关系、查询表和视图表三类,基本表存储实际数据。"
第二章 关系模型和关系运算理论,基本关系具有性质：列是同质的、不同的列可出自同一个域、列的顺序无关、任意两个元组的候选码不能完全相同、行顺序无关、分量必须取原子值。
第二章 关系模型和关系运算理论,"关系模式是对关系的描述,是静态稳定的型。"
第二章 关系模型和关系运算理论,"关系是关系模式在某一时刻的状态或内容,是动态的、随时间不断变化的。"
第二章 关系模型和关系运算理论,"关系模式可形式化表示为R(U, D, dom, F),常简记为R(U)或R(A1,A2,…,An)。"
第二章 关系模型和关系运算理论,"关系数据库由在一个给定的应用领域中所有实体及实体之间联系的关系的集合构成,具有型(数据库模式)和值(关系集合)之分。"
第二章 关系模型和关系运算理论,"关系数据库的型称为关系数据库模式,是对关系数据库的描述。"
第二章 关系模型和关系运算理论,"关系数据库的值是关系模式在某一时刻对应的关系的集合,通常简称为关系数据库。"
第二章 关系模型和关系运算理论,关系操作中最主要的部分是查询的表达能力。
第二章 关系模型和关系运算理论,"关系操作的特点是集合操作方式,即操作的对象和结果都是集合。"
第二章 关系模型和关系运算理论,关系数据语言包括关系代数语言、关系演算语言和具有双重特点的结构化查询语言。
第二章 关系模型和关系运算理论,"关系数据语言的特点是:关系语言是一种高度非过程化的集合操作语言;能够嵌入高级语言中使用;关系代数、元组关系演算和域关系演算三种语言在表达能力上完全等价。"
第二章 关系模型和关系运算理论,"关系模型的完整性规则是对关系的某种约束条件。"
第二章 关系模型和关系运算理论,"实体完整性规则要求主属性不能取空值,用于保证实体的可区分性。"
第二章 关系模型和关系运算理论,"参照完整性要求外码取值要么为空,要么等于被参照关系中某个主码值。"
第二章 关系模型和关系运算理论,"外码是关系R中的一个或一组属性,但不是关系R的码,与关系S的主码对应,用于建立关系间引用。基本关系R称为参照关系。基本关系S称为被参照关系或目标关系。"
第二章 关系模型和关系运算理论,参照关系和被参照关系不一定是不同的关系。
第二章 关系模型和关系运算理论,外码并不一定要与相应的主码同名。
第二章 关系模型和关系运算理论,参照关系在外码上的值必须为空值(外码的每个属性均为空值)或者等于被参照系中某个元组的主码值。
第二章 关系模型和关系运算理论,"用户定义的完整性是针对某一具体关系数据库的约束条件,反映某一具体应用所涉及的数据必须满足的语义要求。"
第二章 关系模型和关系运算理论,"关系代数是一种抽象的查询语言用,对关系的运算来表达查询。"
第二章 关系模型和关系运算理论,关系代数运算的三个要素是运算对象、运算结果和运算符。
第二章 关系模型和关系运算理论,关系代数运算符包括集合运算符、专门的关系运算符、比较运算符和逻辑运算符。
第二章 关系模型和关系运算理论,"传统的集合运算包括并、差、交、广义笛卡儿积,运算是从关系的水平方向即行的角度进行。"
第二章 关系模型和关系运算理论,"专门的关系运算包括选择、投影、连接和除,不涉及行而且涉及列。"
第二章 关系模型和关系运算理论,算术比较符辅助专门的关系运算符进行操作。
第二章 关系模型和关系运算理论,逻辑运算符辅助专门的关系运算符进行操作。
第二章 关系模型和关系运算理论,"选择运算对关系进行水平分割,是从关系中选取满足条件的元组,结果关系模式不变。"
第二章 关系模型和关系运算理论,"投影运算主要是从列的角度进行运算,是从关系中选取指定属性列,取消重复元组。"
第二章 关系模型和关系运算理论,连接运算是从两个关系笛卡儿积中选取属性间满足一定条件的元组。
第二章 关系模型和关系运算理论,等值连接是θ为“=”的连接。
第二章 关系模型和关系运算理论,"自然连接是一种特殊的等值连接,两个关系中进行比较的分量必须是相同的属性组,在结果中取消重复列。"
第二章 关系模型和关系运算理论,"外连接把舍弃的元组也保存在结果关系中,而在其他属性上填空值(Null)。"
第二章 关系模型和关系运算理论,左外连接只把左边关系R中要舍弃的元组保留。
第二章 关系模型和关系运算理论,右外连接只把右边关系S中要舍弃的元组保留。
第二章 关系模型和关系运算理论,"为了减少关系运算的时间复杂度,从而提高效率,通常先做选择运算,再做投影运算,最后做连接运算。"
第二章 关系模型和关系运算理论,"除运算是同时从行和列角度运算,用于查询“包含所有”条件的元组。"
第二章 关系模型和关系运算理论,象集是关系中属性组X上值为x的诸元组在属性组Z上分量的集合。
第二章 关系模型和关系运算理论,"关系运算应优化顺序:先选择、再投影、最后连接,以提高效率。"
第三章 关系规范化基础,"关系数据库逻辑设计的目标是构造适合具体应用的数据库模式,即应该构造几个关系在,每个关系由哪些属性组成等。"
第三章 关系规范化基础,关系模式用来定义关系。
第三章 关系规范化基础,"关系模式形式化定义为 R(U, D, DOM, F),可简化为 R(U, F)。"
第三章 关系规范化基础,"数据依赖是通过一个关系中属性间值的相等与否体现出来的数据间的相互关系,是现实世界属性间相互联系的抽象，是数据内在的性质,是语义的体现。"
第三章 关系规范化基础,"数据依赖是完整性约束的表现形式,限定属性取值范围,定义属性值间的相互关连(主要体现于值的相等与否)。"
第三章 关系规范化基础,常见的数据依赖包括函数依赖和多值依赖。
第三章 关系规范化基础,"规范化理论用来改造关系模式,通过分解关系模式来消除其中不合适的数据依赖,以解决插入异常、删除异常、更新异常和数据冗余问题。"
第三章 关系规范化基础,"函数依赖表示为 X → Y,表示X函数确定或Y函数依赖于X,即不可能存在两个元组在X上的属性值相等,而在Y上的属性值不等。"
第三章 关系规范化基础,关系模式中不合适的数据依赖会导致数据冗余、更新异常、插入异常和删除异常。
第三章 关系规范化基础,"如果X → Y,但Y不完全函数依赖于X,则称Y部分函数依赖于X。"
第三章 关系规范化基础,"函数依赖分为平凡依赖与非平凡依赖,非平凡依赖反映实际语义。"
第三章 关系规范化基础,候选码是最小的超码。
第三章 关系规范化基础,"传递函数依赖指 X → Y, Y → Z,X不依赖于Y,Y不是X的子集,Z不是Y的子集,则 X → Z。"
第三章 关系规范化基础,"范式是关系模式满足的规范等级,包括 1NF、2NF、3NF、BCNF、4NF、5NF。"
第三章 关系规范化基础,"1NF 要求所有属性均为原子值,不可再分。"
第三章 关系规范化基础,"2NF 要求所有非主属性完全函数依赖于候选码,消除非主属性对码的部分函数依赖。"
第三章 关系规范化基础,"3NF 要求非主属性既不部分函数依赖于候选码也不传递函数依赖于候选码,消除非主属性对码的传递函数依赖。"
第三章 关系规范化基础,"BCNF 要求每个决定因素都包含候选码,R中的所有属性(主,非主属性)都完全函数依赖于码,没有任何属性完全函数依赖于非码的任何一组属性。"
第三章 关系规范化基础,"Armstrong 公理系统包括自反律、增广律和传递律,用于推导函数依赖。"
第三章 关系规范化基础,通过自反律、增广律和传递律可以推导出合并规则、伪传递规则和分解顾规则。
第三章 关系规范化基础,"函数依赖闭包 F⁺ 是在关系模式R(U,F)中所有被 F 逻辑蕴含的函数依赖的集合。"
第三章 关系规范化基础,"Armstrong公理系统的有效性是指由F出发根据Armstrong公理推导出来的每一个函数依赖一定在F⁺中。"
第三章 关系规范化基础,"Armstrong公理系统的完备性是指F⁺中每一个函数依赖都能由F出发根据Armstrong公理推导出来。"
第三章 关系规范化基础,"函数依赖集等价是指两个函数依赖集F和G,如果F⁺=G⁺,则称F和G等价,或者函数依赖集F覆盖G(F是G的覆盖,或G是F的覆盖)。"
第三章 关系规范化基础,最小依赖集是满足无冗余、右部单属性、左部无多余属性的函数依赖集。
第三章 关系规范化基础,关系模式分解应满足无损连接性和保持函数依赖性。
第三章 关系规范化基础,"无损连接性是指进行关系分解后得到的关系按照外码自然连接能够得到原来的关系。"
第三章 关系规范化基础,"函数依赖性是指关系分解后每个关系的最小函数依赖集是原关系的最小函数依赖集的子集,并且所有子集的并等于原关系的最小函数依赖集。"
第三章 关系规范化基础,"规范化过程可逐步进行,每一步消除一种不合适的数据依赖。"
第三章 关系规范化基础,"规范化程度并非越高越好,需结合实际应用需求选择合适范式。"